채널명,기존판정,실사결과,채널명(API),channel_id,구독자_실측,30일_업로드수,30일_평균조회수,최근_업로드,판정_규모,판정_활동성,최근_제목_샘플
이큐채널,통과,OK,이큐채널,UCek6BDHDbP2C5pzbXDAoc4A,422000,36,4856,2026-07-26,Y,Y,신천지 빨리 밝히고 정리해야/오세훈 안철수 나경원 신동욱/김민석 정청래 | 여름 길 고양이 자주 밥을 줬더니 가까이 오네요 | 보궐선거 빨리온다/정청래 김민석 신천지/안철수 장동혁/고성국 악재 | 서울시장 보궐선거 열리면 안철수가 가장 유력하다 | 안철수 서울시장 설로 뜨자 견제하는 고성국 | 오세훈과 선관위 때문에 장동혁입지/민주당 당대표 정청래 김민석/서울시장 | 이재명 지지율 30%진입코앞/오세훈 항소/청년팔이 정치인 | 오세훈 내년1월 최종선고/서울시장 안철수 있다/유시민 이재명 썩었다?
배승희 변호사,통과,OK,배승희 변호사,UC8SZ88GQa9XWwZxLNibO3ug,1780000,50+,68716,2026-07-26,Y,Y,"이재명은 끝났다[따따부따] | 이재명 못 들어온다..[따따부따] | 이재명 부동산 토론, 게스트 혹시나? 역시나! | 이재명 이자만 월 천?! 대체 어떤 관계길래?? | 이재명 집 팔자마자... 보유세 3배나 올린다고?? | 이재명 등기부 봤더니, 충격적 내용! 뭐길래?? | 오세훈 낙마 바라는 친한계? 진짜 속내는?? | 감추기 급급! 난리난 정황은? [배승희 뉴스배송 장예찬 출연]"
고성국TV,통과,OK,고성국TV,UCM8BcGB6BWKq3utIMhGKnUA,1340000,50+,77004,2026-07-26,Y,Y,"[고성국TV 생방송 26년 7월 27일 (월) 생방송] | 유시민-김민석-정청래 내전, 극단에 이르렀다 [칼럼 모아보기] | 부정선거 드러났다, 윤석열이 옳았다 [정론일침 모아보기] | 공천혁명을 위해 우리가 해야 할 2가지 [정치특강] | 곽종근, 20년 토사구팽 | 골프 쳤나, 안 쳤나 말 못하는 이재명 #이재명 #골프 #태릉 #해군 | 슈퍼주니어 최시원, 진짜 개념 연예인이 나타났다 | 급해진 김민석, 이젠 노무현까지 끌어들여 #김민석 #노무현 #유시민"
펜앤드마이크TV,통과,OK,펜앤마이크TV,UCOqCunaF9qVN8bXwsK0HT3g,1980000,50+,69524,2026-07-26,Y,Y,"선관위, 보고있나? 최시원의 품격! ""소중한 한표 가치 지키기 위해"" [ | ""선거 조작이 이렇게 쉬웠어?""...전국민이 충격받았다 [출연:이효원┃선 | 이재명 초비상! 진격의 정청래...정청래 33.7% 김민석 22.0%!  | 소년가장이라며 울었던 정민철, 5000만원 넘는 '테슬라 신차' 오너였어 | 장동혁 쫒아낼려고 이정도까지? 제정신 아닌 자들이 국힘에 있다 [출연:손 | 지지층·중도층 다 떠나가는 이재명, 지지율 폭락에 폭락 거듭하고 있다 [ | 강인한 장동혁과 '올공' 합류 안철수, 국힘 내부 분탕자들 '업보' 청산 | 극좌들도 ""내려와라 이재명!"" 부동산 커뮤 발칵 뒤집혔다 [출연:목격자K"
이봉규TV,통과,OK,이봉규TV,UCxuf3GXK290vcpFW0lxm0Uw,979000,50+,17580,2026-07-26,Y,Y,"하나님의 명령 털어놓는다.[정사라 무궁화어머니 회장] | “산둥반도 인쇄지 FBI 압류”[이상로] | 요즘 학교 교육, 중학생의 폭로 충격 | 5명 아이 엄마의 폭로 빼박 | 조계종 사태 끝나간다 [성호스님] | ""합수본 수사 결과 발표에 또 걸려들었구나"" [맹주성 교수] | 혈관 깨끗하게 하는 황, 하나면 된다 [서동찬] | 트럼프, 사기와의 전쟁 승기 잡았다 [지만원]"
김태우TV,통과,OK,김태우TV,UCyuV4qJTRTHmdhBveSVJAew,831000,50+,13546,2026-07-24,Y,Y,"합수본 선관위 수사확대 경기 外 지역선관위도 ‘투표율 조작 입력’ 정황 | 선관위 투표율 통계 조작 정황 포착 | 이재명 집팔자마자 보유세 3배 언급! 우원식, 배우자 출장 지적에 전용기 | 이재명 매도자 대출, 파장 크다! | 이재명 부동산 정책 구멍 자인한 꼴! | 주진우 의원 대폭격! 우원식 전 국회의장, 82억 해외출장 14회 모두  | 부동산 척결의지? 이재명,시세차익 3억 기부하라! | 이재명 아파트, 취임 전보다 3억 이상 더 남겼다! 인천 선관위 직원 숨"
성창경TV,통과,OK,성창경TV,UCFWIofVBqseX6Bmd9Dn7kgg,1280000,50+,97118,2026-07-26,Y,Y,"""韓, 빅테크와 1300兆 규모 협력"" 충격 내막 이가 나선 이유 (20 | 이 측근 줄줄이 도망? 각자도생 난리났다 이정권 붕괴 신호? (2026. | 김부선, 정청래 관련 폭탄 발언 민주당 발칵 난리났다 (2026.7.26 | 멱살 잡고 난동 권영진 폭행혐의 피고발, 국힘도 충격 조치 (2026.7 | 홍준표 폭탄 발언 ""너 때문에 검찰 해체 보완수사권도 박탈"" (2026. | 중학교서 이재명 자서전 추천했다가 발칵 학부모 들고일어났다 (2026.7 | SNS에 화제 된 '형조판서 정성호 사직상소' 이재명 발칵 (2026.7 | 호남 반도체 물건너 갔다? 무안군, 군공항 이전 회의 불참 발칵 (202"
황장수의 뉴스브리핑,통과,OK,황장수의 뉴스브리핑,UCR0VAgd0w8QI7WWQ0E8Srdw,567000,50+,16019,2026-07-25,Y,Y,"[황장수의 주말진단]진짜 두려운건「악의건재」가 아닌  / 스스로 악이 되 | [황장수의 주말진단]무조건 모이고 패거리짓는 습성 / 고독하게 살아가는  | 4부:국조, 특검 주장하고「선관위해체」「반대하던 국힘」이제사「선관위해체? | 3부:급락코스피 / 유가,미증시,금리 악재 쌓여 / 한나절 못내다보고 1 | 2부:李지지 갤럽최저 51% / 독재타도 외치던 자들이 보여준「민주독재」 | 1부:금요칼럼)비루한 암흑의 시대, 당신 어떻게 살고있나? 스쳐가는 바람 | 4부:李지지율40.8%, 부정56.5%(코리아정보리서치) / 선관위 투표 | 3부:연말쯤 댓가치룰 주식도박판 책임 바로「너」(2026.07.23)"
신인균의 국방TV,보류,OK,신인균의 국방TV,UCbgqDFODvh-q38ouzoKKkVA,1530000,50+,187033,2026-07-26,Y,Y,"韓 유럽 군함 수출 연패의 이유! 잭팟과 쪽박의 갈림길! | 한국 미사일 줄 선다더니? 韓 방공미사일의 충격 실태! | 불바다 된 러시아 대도시들! 美, 지지율 폭락한 푸틴, 계엄령 준비중! | 자폭 버튼 누르려는 이란! 확전 예고 트럼프! NATO까지?! | 美 육군, 이란 국경부대 타격! 지상전 임박! 병원선 이동! | 홍해까지 확전! 후티 공격에 연합군 지상 진격! | 불바다 된 러시아! 개전 후 최대 피해! | 美 B-1B, 이란 폭격작전 복귀! 이란 전역 폭격!"
최병묵의 FACT,통과,OK,최병묵의 FACT,UC9Hlfu1tksuFbo2peL1ohnA,570000,50+,54686,2026-07-26,Y,Y,"[최병묵의 팩트] 이재명, 경찰 칭찬하면서 정성호엔 침묵 왜 | [최병묵의 팩트] 정성호 사의 표명 시점이 중요한 이유 | [최병묵의 팩트] 친청계의 신천지 '경언유착' 의혹 제기 실체는 | [최병묵의 팩트] 정성호는 '이재명 공소취소' 포기했다 왜 | [최병묵의 팩트] 이재명이 선도한 아파트 매매 활기 아이러니 | [최병묵의 팩트] '국민의힘 신천지 유착 의혹' 무너졌다 왜 | [최병묵의 팩트] 박지원도 인정한 '정청래 역전'의 이유 | [최병묵의 팩트] 이재명 '헬기타고 땅찾기' 전에 해야할 일"
서정욱TV,통과,OK,서정욱TV,UCNzWZmsJ2QmBss30LeZZTdg,740000,50+,50569,2026-07-26,Y,Y,"철강도시 공장 멈추니 상가 줄 폐업, 심각한 경제, 도미노처럼 무너진다. | 답은 레버리지다! 초고위험에도 식지 않는 개미들의 투기 광풍, 복구하려다 | 국가가 돈을 뿌리는데, 왜 국민들은 더욱 살기 어려워질까? 곧 대한민국도 | 은행 대출 안나오는데, 개인 간 대출 권장하나? 전 세계 놀림감인 이재명 | ""특검 여러분, 나중에 안전할 것 같나?"" 특검 향해 폭탄 경고 날린 윤 | 판 깨진 호남 반도체! 이전 후보지 무안군, 군공항 회의 또 불참 파문  | 질문자 선정부터 대출 승인까지! 이재명의 완벽한 '짜고 치는 고스톱' | | 전임자 줄구속에 정성호 벌벌! '내가 왜 손에 피 묻히고 교도소 가나' "
